ID|Q_ID|ANSWER|CORRECT
67|43|Это позволяет получить динамические уравнения движения в более простом и компактном виде и облегчает задачу составления указанных уравнений.|
68|10|Идеальное твёрдое тело, которое может вращаться только вокруг закреплённой оси, имеет одну степень свободы|
69|85|эллиптический|
70|98|Для кинематических задач все системы отсчета эквивалентны и выбор системы отсчета не является существенным (НСО – неинерциальные системы отсчета)|
71|91|От массы и ускорения, направления и точки приложения силы|
72|66|Если геометрическая сумма внешних сил, действующих на систему материальных точек, равна нулю|
73|1|Радиальное движение является составляющей вращательного движения.|
74|59|движение тела в отсутствие внешних воздействий|
75|62|В случае, когда одна из его точек неподвижно закреплена.|
76|19|Если система замкнута и на неё не действуют внешние силы.|
77|49|Твердое тело скользит вдоль закреплённой оси и одновременно вращается вокруг этой закреплённой оси.|
78|81|Если механическая система находится в покое, то скорости всех ее точек равны нулю. Это и является необходимым и достаточным условия для равновесия механической системы.|
79|2|По любой замкнутой траектории|
80|81|необходимо чтобы равнодействующая и главный вектор сил были равны нулю|
81|41|Ничем|
82|5|в том случае если действуют только консервативные силы|
83|62|если состояние тела можно описать тремя пространственными координатами|
84|66|Если система замкнута|
85|1|Не отразится на правильности формулы|
86|82|изучает движение материальных тел со скоростями в разы меньшими скорости света|
87|10|в случае если для описания его положения требуется одна координата|
88|99|Изменение импульса системы равно импульсу равнодействующей всех сил|
89|75|в случае переноса точки вдоль линии действия силы|
90|87|так как направление импульса совпадает с направлением вектора скорости|
91|91|От точки приложения|
92|28|в тех случаях если его размеры малы по сравнению с расстоянием|
93|31|Так как пространство расширяется события не могли произойти в одном и том же месте|
94|15|Происходит абсолютно упругое столкновение со сменой направления движения точек|
95|85|точка движется по дуге не покидая пределов окружности|
96|53|Произведение массы системы на ускорение её центра масс равно геометрической сумме всех действующих на систему внешних сил|
97|43|для сведения задачи о двух телах  к двум задачам об одном теле|
98|25|так как отличаются начальные условия|
99|0|через ее ускорение|
100|59|свойство тела оставаться в системах отсчёта в состоянии покоя или равномерного прямолинейного движения при отсутствии внешних воздействий|
101|19|в изолированной системе|
102|64|полная потеря кинетической энергии|
103|4|когда для описания положения тела используется шесть координат|
104|49|когда для описания положения тела используются две координаты|
105|68|р|
106|98|системы в которых наиболее просто провести расчеты|
107|97|Внешние|
108|87|потому что  физическая величина,равная произведению массы тела на вектор скорости называется импульсом,который показывает меру механического движения тела.а величины, измеряемой отношением скорости к массе тела , не несет физического смысла|
109|59|это движение тела в отсутствие внешних воздействий|
110|2|Консервативные силы - это силы, работа которых не зависит от траектории и на любом замкнутом пути равна нулю|
111|97|внешние|
112|98|инерциальные|
113|4|в любом|
114|15|выполняется закон сохранения импульсов и закон сохранения энергии|
115|31|не сказано,относительно чего события произошли в одном и том же месте пространства|
116|41|местом приложения|
117|0|взять производную по направлению действия силы и сменить знак на противоположный|
118|91|от массы тела и от величины ускорения|
119|19|когда силы,действующие на систему компенсируют друг друга|
120|99|импульсу равнодействующей всех сил, действующих на тело|
121|28|тогда, когда размерами тела можно пренебречь|
122|25|потому что всё в природе относительно|
123|1|момент инерции в формуле перестанет быть постоянной величиной|
124|75|если перенести точку вдоль действия силы|
125|5|когда равнодействующая всех сил равна нулю|
126|10|при движении по кривой|
127|43|для исследования движения двух тел при их взаимодействия|
128|53|так, как двигалась бы материальная точка, массой,равной массе системы под действием силы, равной сумме всех внешних сил, действующих на систему|
129|62|при движении в пространстве|
130|81|так как нельзя вводить понятие силы,то можно ввести момент силы.Для равновесия системы необходимо,чтобы сумма  проекций всех сил,действующих на систему на Оси ОХ и ОУ и сумма моментов всех сил относительно произвольной точки были равны нулю|
131|49|при движении на плоскости|
132|82|законы изменения положений тел и причины их возникновения|
133|85|криволинейный сегмент|
134|68|ноль|
135|66|если на систему действует постоянная сила|
136|49|если положение тела в пространстве можно описать двумя координатами|
137|5|в случае если действуют только консервативные силы|
138|81|необходимость в равенстве равнодействующей и главного вектора сил нулю|
139|91|От точки ее приложения|
140|43|для сведения задачи о двух телах к двум задачам об одном теле|
141|59|Движение при котором внешние силы больше не действуют на тело но оно по прежнему движется|
142|2|По любой замкнутой траектории|
143|10|если положение тела в пространстве можно описать одной координатой|
144|85|движение по дуге не выходя за пределы окружности|
145|64|полная потеря|
146|31|События не могли произойти в одном и том же месте из за расширения пространства|
147|15|Абсолютно упругое столкновение со сменой направления движения точек|
148|99|Импульсу равнодействующей всех сил|
149|75|в случае переноса точки вдоль линии действия силы|
150|98|системы наиболее удобные для проведения расчетов|
151|1|Никак не изменится|
152|53|По дуге приближаясь и удаляясь от края окружности|
153|97|Внешние силы|
154|62|если положение тела в пространстве можно описать тремя координатами|
155|0|Через ускорение|
156|28|Когда его размеры пренебрежимо малы по сравнению с расстоянием|
157|82|движение материальных тел со скоростями значительно меньшими скорости света|
158|68|н|
159|4|если положение тела в пространстве можно описать шестью координатами|
160|25|из за отличия начальных условий|
161|19|в изолированной системе|
162|87|из за совпадения направления импульса и вектора скорости|
163|41|Ничем|
164|66|В замкнутой системе|
165|31|временная|
166|97|внутренние и внешние|
167|41|тем, что противодействие это вызванная мера, а действие направленная|
168|10|В случае кручения волчка|
169|49|при движение по поверхности|
170|4|Твёрдое тело, движущееся в трёхмерном пространстве|
171|62|при движении на плоскости|
172|64|полная|
173|25|потому что разные начальные условия|
174|15|обмен кинетическими энергиями|
175|99|равно импульсу внешних сил|
176|59|плыть по течению|
177|91|Сила, с которой одна частица действует на другую, зависит от радиус-векторов и скоростей только этих двух частиц|
178|75|Момент силы относительно точки не меняется от переноса силы вдоль линии ее действия.|
179|85|вид интегрального сегмента|
180|82|изучает движение макроскопических тел со скоростями, малыми по сравнению со скоростью света|
181|19|Если момент внешних сил относительно неподвижного начала равен нулю, то момент импульса системы относительно того же начала остается постоянным во времени|
182|66|если на тела системы действуют только внутренние силы, то импульс системы тел не изменяется со временем|
183|98|Инерциа́льная систе́ма отсчёта|
184|43|чтобы задачу двух тел редуцировать в задачу движения одного тела|
185|87|потому что величина, равная произведению массы материальной точки на ее скорость, называется импульсом|
186|0|сила равна градиенту потенциальной энергии, взятого с обратным знаком|
187|2|консервативные силы — такие силы, работа по любой замкнутой траектории которых равна 0.|
188|53|движется как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила – геометрической сумме всех внешних сил, действующих на все точки системы|
189|28|когда размеры тела намного больше расстояние которое оно проходит|
190|43|При исследовании динамики механизмов удобно действительные массы и моменты инерции звеньев механизма заменять эквивалентными им условной массой, сосредоточенной на звене приведения, и моментом инерции звена приведения|
191|87|Потому что это определенная физическая величина, которую можно измерить и представить|
192|49|Когда это тело совершает колебания (математический маятник), т.к. всего две изменяющиеся координаты, описывающие положение этого тела в пространстве, следовательно две степени свободы|
193|28|Если тело движется поступательно или его размеры много меньше расстояний, которые тело проходит|
194|2|Потому что по определению работа по замкнутому контуру равна 0, а не пути|
195|75|Момент силы относительно неподвижного начала не меняется от переноса силы вдоль линии ее действия|
196|82|Классическая механика изучает движение макроскопических тел со скоростями, малыми по сравнению со скоростью света, и причины, вызывающие это движение|
197|91|От массы тела и характера его движения|
198|19|Когда момент внешних сил относительно неподвижного начала равен нулю|
199|15|Механическая энергия системы сохраняется и после соударения тела движутся с другими скоростями (направление их движения после соударения зависит от массы тел, скорости их первоначального движения и направления)|
200|85|Нелинейный (разный)|
201|25|Движения выглядят по-разному, так как для описания движения к уравнению движения необходимо добавить начальные условия, то есть задать начальное положение тела и его начальную скорость, а они будут различными в разных системах отсчета|
202|59|Движение тела, которое происходит без внешнего воздействия|
203|10|Когда движение тела задается только одним параметром (к примеру колебания пружины, меняется только координата х , которая задает положение тела в пространстве)|
204|5|Полная механическая энергия сохраняется только в системе с консервативными силами|
205|66|Если система движется равномерно, прямолинейно, то импульс системы не меняется со временем|
206|1|Не изменится|
207|31|Неясно, они произошли одновременно или нет (совместны они или нет)|
208|0|Сила равна градиенту потенциальной энергии, взятому со знаком минус (знак - показывает, что вектор силы направлен в сторону наибыстрейшего уменьшения потенциальной энергии)|
209|81|Система находится в состоянии покоя|
210|98|Системы отсчета, наиболее удобные в рамках решения данной задачи|
211|68|Ее потенциальная|
212|97|Внешние силы влияют на изменение кинетической энергии системы материальных точек|
213|4|Когда у тела три поступательных степени свободы и три вращательных|
214|62|Когда положение этого тела в пространстве задается тремя параметрами (оси x, y, z)|
215|41|Отличается природой возникновения (сила действия может порождаться множеством разных источников, но сила противодействия это сила, которую порождает результат силы действия))|
216|99|Импульс силы равен изменению импульса системы|
217|64|При абсолютно неупругом столкновении двух шаров происходит потеря кинетической энергии равная половине произведения приведенной массы на квадрат относительной скорости|
218|53|Центр масс системы материальных точек движется как материальная точка, масса которой равна суммарной массе всей системы|
219|41|Очень расплывчатый вопрос, т.к. выходит из закона сохранения импульса, что сила взаимодействия равны по модулю , но противоположно напраленны.  Это и есть их главное отличие, а так же присутствует характер происхождения силы|
220|59|Движение без прилагаемой силы|
221|75|если точки приложения находились на сфере|
222|98|Инерциальные|
223|82|Раздел физики, изучающий законы движения тела в пространстве, его причины|
224|19|когда нет внешних сил|
225|1|Никак, т.к. радиальное движение никак не влияет на тангенсальное|
226|43|чтобы кинетическая энергия этой материальной точки равнялась сумме кинетических энергий всех  её состовляющих|
227|81|Общий момент импульса и момента силы должны равняться нулю|
228|85|окружность|
229|64|На тепло|
230|87|Потому что количество движения является одной из важнейших характеристик движения, на основе которой выведены многие законы механики|
231|28|размерами и формой которого можно пренебречь|
232|53|неконкретный вопрос,так как неизвестно ещё много факторов: что за система отсчёта, как движутся сами материальные точки и т.д.|
233|66|если на него не действуют никакие силы и движется без соударений|
234|5|только если неконсервативные силы- силы слабого и сильного ядерного взаимодействия|
235|0|просто поделить на расстояние, которое тело смогло пройти под действием этой силы|
236|31|не указана система отсчёта|
237|2|называются плохо звучит, лучше являются|
238|25|потому что для каждого тела приходиться составлять новые уравнения движения при переходе из одной ИСО к другой|
239|68|по теореме Кёнинга мы найдём кин энергию вращения относительно центра масс|
240|99|произведение изменения скорости системы и массы|
241|91|от её модуля, направления и точки приложения|
242|62|оч много всего. даже на пальцах не уместится. Приведу несколько. Если тело будет двигаться по плоскости и вращаться относительно центра/точки, когда тело движется  в пространстве без вращений и т.д.|
243|15|они продолжают двигаться, но сменив направления|
244|49|когда тело вращается на плоскости относительно центра/ точки когда тело движется по плоскости|
245|97|только внешние|
246|4|в общем случае|
247|10|когда движется прямолинейно|
248|15|выполняется закон сохранения энергии и закон сохранения импульса, на характер их движения влияет соотношение масс и направления и модули скоростей до соударения|
249|41|направлением, источником силы|
250|0|найти производную потенциальной энергии по направлению действия искомой силы|
251|91|от численного значения, направления действия и точки приложения|
252|98|инерциальные|
253|43|чтобы совокупность кинетических энергий всех точек механизма была сосредоточена в одной материальной точке|
254|59|движение при отсутствии сил, направление которых совпадает с направлением движения самого объекта|
255|1|момент инерции будет зависеть от радиального движения|
256|19|при отсутствии момента внешних сил|
257|85|окружность|
258|82|законы изменения положений тел в пространстве со временем и причины, это вызывающие|
259|53|при отсутствии внешних сил - равномерно или с нулевой скоростью, если есть внешние силы, то с ускорением|
260|25|так как для описания движения необходимо задать начальное положение тела и его начальную скорость, а они будут разными в разных системах отсчета|
261|75|если после переноса не изменится плечо силы|
262|64|потери на пластическую деформацию, разрушение, выделение тепла и т.д.|
263|81|тела остаются неподвижными по отношению к выбранной системе отсчета|
264|28|размерами и формой которого можно пренебречь|
265|97|внешние|
266|4|в общем случае движения в пространстве|
267|2|в инерциальной системе отсчета|
268|66|если у системы не изменяется скорость и масса, отсутствуют внешние силы|
269|49|в случае, когда оно может двигаться и вращаться вдоль одной и той же неподвижной оси|
270|87|потому что характеристика, описывающая количество движения гораздо более понятна, и удобна для описания движения тела|
271|62|когда тело может двигаться и вращаться вдоль оси, которая, в свою очередь, тоже может вращаться в пределах плоскости|
272|10|когда оно может двигаться вдоль неподвижной оси без вращения|
273|31|в том, что одно и то же место пространства в разных системах отсчета будет разными местами пространства|
274|68|останется лишь энергия вращения|
275|99|произведению результирующей внешних сил на время|
276|62|плоский ротор|
277|85|вид пространственной кривой, состоящей из сопряжённых поворотов в различных плоскостях вокруг мгновенных центров поворота с различными значениями радиуса поворота|
278|59|движение тела остается неизменным после прекращения действия силы на тело или уравновешивания всех сил|
279|66|импульс системы не меняется со временем, если на нее не действуют внешние тела(или действие внешних тел скомпенсировано)|
280|99|импульсу внешних сил|
281|0|F= - grad E(E-потенциальная энергия, F-сила, действующая на м.т.)|
282|75|если перенесли точку приложения момента этой силы вдоль линии ее действия|
283|1|не изменится, т.к. при этих условиях  на справедливость d(Iw)/dt = M не влияет|
284|10|математический маятник|
285|19|когда векторная сумма всех моментов импульса относительно любой неподвижной точки(начала) для замкнутой системы остается постоянной со временем|
286|91|от направления вектора силы и ее значения|
287|68|кинетическая энергия системы будет та же , так как кин. энергия системы относительно центра тяжести равна нулю|
288|43|его вводят для того , чтобы знать распределение масс в в движущейся системе|
289|87|так как во 2 законе ньютона масса является частью произведения, ma=F , и dp/dt=F . сделав преобразования поймем, что m находится в числителе|
290|31|т.к. в одной конкретной точке пространства в данный момент времени может произойти только одно событие|
291|2|по замкнутой траектории|
292|81|сумма моментов системы равна 0|
293|97|как внутренние могут влиять так и внешние|
294|53|центр масс системы материальных точек движется как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила – геометрической сумме всех внешних сил, действующих на все точки системы|
295|5|в замкнутой системе|
296|64|разность двух кинетических энергий данных материальных точек|
297|41|направлением(направленно противоположно)|
298|49|в двумерном пространстве|
299|28|когда ее размерами, массой и другими характеристиками можно пренебречь|
300|15|кинетическая энергия системы не изменится, м.т. поменяют свое направление|
301|98|самые удобные системы отсчетов для данных задач|
302|82|она изучает движение тел безотносительно к причинам, которые заставляют эти тела двигаться|
303|4|идеальное тверное тело имеет 6 степеней свободы, если на его движение не наложены ограничения|
304|25|из-за  движения одной системы относительно другой|
305|49|При движении тела по заданной поверхности|
306|68|Кинетическая энергия движения центра масс|
307|4|В случае его свободного движения|
308|66|Если геометрическая сумма внешних сил, действующих на систему материальных точек, равна нулю|
309|97|внешние|
310|82|движение макроскопических тел со скоростями, малыми по сравнению со скоростью света, в основе лежат законы Ньютона|
311|59|Движение тела, которое происходит без внешнего воздействия|
312|1|никак|
313|43|Чтобы задачу двух тел свести к двум задачам об одном теле|
314|10|При его движении по заданной линии|
315|53|центр масс замкнутой системы движется прямолинейно и равномерно или покоится|
316|98|Абсолютная система отсчета, система, относительно которой покоится эфир электродинамики Максвелла|
317|31|Невозможно точно определить положение в пространстве|
318|91|от ускорения, с которым движется материальная точка|
319|62|Когда оно рассматривается, как материальная точка|
320|2|по любой замкнутой траектории|
321|64|Механическая энергия системы переходит во внутреннюю энергию тел и расходуется на работу по деформации тел|
