ID|QUESTIOIN|TEACHER_ANSWER
31|В чем может заключаться некорректность утверждения о том, что события А и Б произошли в одном и том же месте пространства?|Не указана система отсчета
32|При рассмотрении движения тела относительно Земли студент учел и центробежную силу и кориолисову силу, но не учел гравитационные силы со стороны Солнца и Луны. Почему?|Гравитационные силы со стороны Солнца и Луны компенсируются поступательными силами инерции, возникающими из-за ускорения, сообщаемого Земле этими телами
33|Что представляет из себя излучение отдельного атома? |Цуг волн
34|Как называют среды с постоянным коэффициентом преломления?|Оптически однородные среды
35|Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? | Свет станет неполяризованным
36|Какое поле создает сферически симметрично заряженный шар во внешнем пространстве?|Такое же, как и точечный заряд, сосредоточенный в его центре
37|Какой вывод по поводу образования ионов в электролитах можно сделать из справедливости закона Джоуля-Ленца в этих электролитах?|Работа электрического поля в электролитах не тратится на образование ионов
38|В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? | Синему цвету
39|В какой волне не может возникнуть поляризация? | В продольной
40|Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|Да. Если число зон Френеля четное
41|В такой формулировке третьего закона Ньютона Всякому действию соответствует равное и противоположно направленное противодействие - чем противодействие по физической природе отличается от действия?|Ничем
42|Почему удержаться в транспорте на поворотах легче в неподвижном состоянии, чем при движении?|Из-за действия кориолисовой силы
43|Зачем вводится понятие приведённой массы?|Для определения относительного движения одной материальной точки относительно другой
44|Что такое собственная энергия заряда?|Это работа сил взаимного отталкивания более элементарных зарядов, которую они произвели бы, если бы все части заряда разлетелись на бесконечно большое расстояние
45|Апогелий планеты на 10% больше перигелия. Как относятся площади, которые описывают радиус-векторы планет в апогелии и перигелии за одну секунду?|Площади одинаковы
46|Какие оптические явления лежат в основе голографии | Дифракция и интереференция световых волн
47|Как можно охарактеризовать силовые линии напряженности с точки зрения потенциала (не прибегая к понятию эквипотенциальной поверхности)?|Это линии, вдоль которых потенциал изменяется наиболее быстро
48|Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|Потому что на долю вращательного движения у полых тел приходится относительно большая кинетическая энергия, чем у сплошных
49|В каком случае идеально твердое тело при движении обладает двумя степенями свободы?|Если твердое тело может скользить вдоль закрепленной оси и одновременно вращаться вдоль неё
50|Есть две внешне совпадающие формулы для энергии электростатического поля (обе корректные): энергия равна полусумме произведения i-того заряда на i-тый потенциал. В одной формуле берется заряд проводника и его потенциал, во второй формуле берется точечный заряд и потенциал, создаваемый всеми остальными зарядами в точке нахождения этого заряда. В чем отличие этих формул?|Превая формула - это полная энергия системы зарядов. а вторая - взаимная потенциальная энергия
51|В чем некорректность фразы температура, при которой сосуществуют в фазовом равновесии твердая, жидкая и газообразная фаза одного и того же вещества при нормальном атмосферном давлении, называется тройной точкой?|Для равновесия требутся вполне определенное давление
52|Опишите основной принцип работы метода изображений.|Представление распределенного по поверхности проводника или диэлектрика заряда в виде обособленного фиктивного заряда
53|Как движется центр масс системы материальных точек?|Как материальная точка, масса которой равна суммарной массе всей системы, а действующая сила - геометрической сумме всех внешних сил, действующих на систему
54|Почему величина третьей космической скорости не определена однозначно?|Величина третьей космической скорости зависит от того, в каком направлении выходить из зоны действия земного тяготения
55|Какой принципиальный способ измерения векторов напряженности и смещения (индукции) электрического поля в диэлектрике?|В диэлектрике нужно сделать полость и внести в неё пробный заряд
56|Когда мы говорим, что два тела имеют одинаковые температуры?|Когда при приведении тел в контакт не нарушается термодинамическое равновесие
57|Выберем в твердом теле некоторую точку О. Произвольное движение твердого тела разложим на поступательное движение со скоростью, равной скорости точки О, и вращательное движение вокруг мгновенной оси, проходящей через эту точку. Выберем теперь другую точку А и опять разложим движение на поступательное движение со скоростью, равной скорости точки А, и вращательное движение вокруг мгновенной оси, проходящей через точку А. Известно, что поступательная скорость движения при переходе от точки О к точке А увеличилась в два раза. Как при этом изменилась скорость вращательного движения?|Не изменилась
58|Какие условия накладываются на термоскоп?|Достаточная малость
59|Что такое движение по инерции?|Прямолинейное равномерное движение свободного тела
60|Сформулируйте теорему Ирншоу.|Система, включающая в себя объекты, взаимодействия которых основаны только на кулоновских силах, не являются устойчивой
61|Почему абсолютная термодинамическая шкала температур называется абсолютной?|Температура отсчитывается от абсолютного нуля
62|В каком случае идеально твердое тело при движении обладает тремя степенями свободы?|Если оно движется поступательно или одна из точек тела неподвижно закреплена
63|Как связаны термоскоп и термометр?|Проградуированный по определенному правилу термоскоп превращается в термометр
64|Какая потеря кинетической энергии происходит при абсолютно неупругом столкновении двух материальных точек?|Равная половине произведения приведённой массы на квадрат относительной скорости
65|Что некорректно в следующем определении моль есть количество вещества системы, содержащей столько же молекул, сколько содержится атомов в углероде-12 массой 0,012 кг?|Молекулы надо заменить на структурные единицы
66|В каком случае импульс системы не меняется со временем?|Если геометрическая сумма внешних сил, действующая на систему, равна нулю
67|Чем некорректно следующее определение: весом тела называется приложенная к нему сила, равная и противоположно направленная силе, с которой это тело действует на подставку, на которой оно лежит, или тянет за подвес, к которому оно подвешено?|Тело, подставка и подвес покоятся в той системе отсчета, в которой производится взвешивание
68|Что получится, если от кинетической энергии системы материальных точек отнять кинетическую энергию той же системы в её относительном движении по отношению к поступательно движущейся системе координат с началом в центре масс?|Кинетическая энергия всей массы системы, сосредоточенной в её центре масс
69|Что общего между сальто прыгуна и пируэтом балерины?|Использование закона сохранения момента импульса
70|Как изменится длина волны света при переходе из вакуума в прозрачную среду с абсолютным показателем преломления n = 2? |Уменьшится в 2 раза
71|В каком случае уравнение моментов относительно движущегося начала имеет такой же вид, что и относительно неподвижного начала?|Если движущееся начало совпадает с центром масс системы
72|Что является некорректным в следующем определении однородности времени: однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково?|Система должна быть замкнутой
73|Что происходит с векторами напряженности и электрического смещения на границе (и ее окрестности) раздела диэлектрика?|При переходе границ раздела у вектора напряженности сохраняется тангенциальная компонента, а у электрического смещения сохраняется нормальная компонента
74|Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|Нулю
75|В каком случае после переноса точки приложения силы момент этой силы относительно неподвижного начала  не изменится?|Если точку приложения силы перенести в любую другую точку, расположенную на линии действия силы
76|Какое явление показывает поперечность световых волн?|Поляризация света
77|Что такое точечный электрический диполь?|Система двух одинаковых по величине, но разных по знаку точечных зарядов, расстояние между которыми значительно меньше расстояние до точки ,где определяется поле системы
78|При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|Четное число зон Френеля
79|В чем некорректность фразы в состоянии термодинамического равновесия все процессы прекращаются?|Прекращаются только макроскопические процессы
80|Как объяснить то, что магнитные силы не удовлетворяют принципу равенства действия и противодействия?|Эти взаимодействия осуществляются посредством полей
81|Каково условие равновесия системы (без введения понятия силы, силы сухого трения отсутствуют)?|Потенциальная энергия системы экстремальна
82|Что изучает классическая механика?|Медленные движения макроскопических тел
83|Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |Когда длина волны превосходит размер частиц
84|Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|Скорости света в вакууме
85|Какой вид имеет траектория материальной точки в поле центральных сил?|Плоская кривая
86|Чем фундаментально интерференция отличается отдифракции?|Ничем
87|Почему в физике используют величину mv, а не v/m?|Потому что для неё имеет место закон сохранения
88|Чем силы инерции отличаются от обычных сил классической механики?|Они не инвариантны в разных неинерциальных системах отсчета и они не подчиняются закону равенства действия и противодействия
89|Для света какого цвета показатель преломления воды является наибольшим?|Фиолетовый
90|Какую форму имеют эквипотенциальные поверхности в проводнике?|Внутри проводника любая поверхность является эквипотенциальной
91|От чего зависит сила, действующая на материальную точку в классической механике?|Сила зависит от разности координат и разности скоростей рассматриваемой материальной точки и точек, с которыми она взаимодействует
92|Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|На наиболее удаленных выступающих частях проводника, обладающих максимальной кривизной
93|Что является термометрической величиной в идеально-газовой шкале температур?|Произведение объема газа на его давление
94|В чем некорректность фразы температура, при которой твердая и жидкая фаза одного и того же вещества сосуществуют в фазовом равновесии, называется нормальной точкой плавления?|Должно быть нормальное атмосферное давление
95|В физике Ньютона по каким траекториям движутся планеты?|Каждая планета движется по эллипсу, в одном из фокусов которог находится Солнце
96|Сформулируйте закон сохранения заряда.|Алгебраическая сумма зарядов электрически замкнутой системы сохраняется
97|Какие силы - внутренние или внешние - влияют на изменение кинетической энергии системы материальных точек?|И внутренние и внешние силы
98|Какие системы отсчета являются привилегированными в кинематике?|Никакие
99|Чему равно изменение импульса системы?|Импульсу геометрической суммы всех действующих на систему внешних сил
100|Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. | Принцип Ферма
101|Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|Кольца Ньютона
102|Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|Поглощательная способность
103|Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? | Изображение не изменится, станет менее ярким
